QUANTITYORDERED,PRICEEACH,MSRP,PRODUCTLINE,COUNTRY,DEALSIZE,RevenuePerUnit
0.38461538461538464,0.04089168490153172,0.16022099447513816,6,18,2,3184.059214460424
0.40659340659340665,0.1716356673960613,0.03867403314917128,1,6,2,4169.886362254333
0.3076923076923077,0.8685722100656454,0.281767955801105,2,9,1,9987.770397462082
0.2637362637362638,0.4686816192560175,0.14917127071823205,6,18,2,6955.548768775849
0.4835164835164836,1.0,0.7513812154696132,0,18,0,15760.253594755197
0.4285714285714286,0.8200218818380745,0.2596685082872928,0,0,1,9117.987246964238
0.40659340659340665,0.4202680525164114,0.08839779005524862,2,3,2,6092.496914265081
0.4285714285714286,0.40577133479212246,0.16022099447513816,4,18,2,5937.611455732699
0.16483516483516486,1.0,0.5966850828729282,0,9,2,15326.564188439233
0.4725274725274726,0.550601750547046,0.6353591160220994,0,14,1,6962.114522692658
0.3406593406593407,1.0,0.6298342541436464,0,18,1,18292.048201165704
0.4725274725274726,1.0,0.2928176795580111,3,18,1,13538.481860035052
0.28571428571428575,0.9446115973741795,0.3149171270718232,3,0,1,10746.023889163878
0.4285714285714286,1.0,0.718232044198895,0,18,0,16675.710900078997
0.3736263736263737,1.0,0.569060773480663,5,3,1,16679.31828883403
0.18681318681318687,0.5500547045951859,0.2596685082872928,0,18,2,8260.751924455806
0.3076923076923077,0.5207877461706782,0.16022099447513816,6,0,2,7177.8467199816
0.2417582417582418,0.7112964989059081,0.35359116022099446,6,2,2,9136.518444009815
0.3626373626373627,0.6809354485776806,0.8839779005524863,1,10,2,8245.282630085048
0.043956043956043966,1.0,0.4640883977900553,0,1,2,24841.8984680985
0.4505494505494506,1.0,0.6022099447513812,0,11,0,16619.427227346903
0.15384615384615385,1.0,0.11602209944751385,3,14,2,14587.651802632829
0.20879120879120883,1.0,0.7513812154696132,0,3,1,21897.6222717754
0.29670329670329676,0.625957330415755,0.14917127071823205,6,6,2,8080.0221177730655
0.17582417582417587,1.0,0.6464088397790055,1,18,1,22049.52468328363
0.23076923076923078,0.6760120350109409,0.08839779005524862,2,10,2,8927.88312506458
0.43956043956043966,0.14305251641137862,0.04419889502762431,6,18,2,3907.5421034171463
